q1,q2,q3,q4,q5,q6,x,y,z
180,-118.07,-180,-113.26,-180,-179.22,268.8,220,1267.8
180,-117.95,-179.97,-113.29,-180,-179.19,265.82,219.52,1268.6
180,-117.19,-179.76,-113.46,-180,-178.98,246.13,216.33,1274.3
179.99,-115.26,-179.23,-113.89,-180,-178.45,195.87,208.29,1287
179.97,-111.78,-178.27,-114.67,-180,-177.49,103.61,193.85,1304.7
179.95,-106.47,-176.81,-115.86,-180,-176.03,-39.586,172.04,1318.3
179.91,-99.186,-174.8,-117.49,-180,-174.03,-238.33,142.55,1310.1
179.87,-89.863,-172.23,-119.58,-180,-171.47,-488.92,105.78,1254
179.82,-78.532,-169.11,-122.12,-180,-168.36,-773.9,62.912,1119.7
179.76,-65.302,-165.47,-125.08,-180,-164.73,-1057.8,15.95,880.04
179.69,-50.351,-161.35,-128.43,-180,-160.62,-1287.6,-32.364,524.13
179.62,-33.912,-156.82,-132.11,-180,-156.11,-1402.2,-78.755,68.891
179.54,-16.268,-151.96,-136.06,-180,-151.27,-1349.2,-119.79,-434.99
179.46,2.2628,-146.86,-140.21,-180,-146.18,-1106.2,-152.37,-910.09
179.37,21.337,-141.6,-144.48,-180,-140.94,-693.53,-174.2,-1272.5
179.28,40.593,-136.3,-148.79,-180,-135.65,-173.01,-184.18,-1457.9
179.2,59.667,-131.05,-153.06,-180,-130.42,370.52,-182.58,-1441.9
179.11,78.198,-125.94,-157.21,-180,-125.33,855.32,-170.95,-1244.5
179.03,95.842,-121.08,-161.16,-180,-120.49,1224.9,-151.76,-918.59
178.96,112.28,-116.56,-164.84,-180,-115.97,1457.4,-127.95,-529.45
178.89,127.23,-112.44,-168.19,-180,-111.87,1562.1,-102.41,-136.14
178.83,140.46,-108.79,-171.15,-180,-108.23,1567.8,-77.616,219.54
178.78,151.79,-105.67,-173.68,-180,-105.12,1510.3,-55.368,515.35
178.74,161.12,-103.11,-175.77,-180,-102.56,1422.8,-36.752,744.97
178.71,168.4,-101.1,-177.4,-180,-100.56,1331.5,-22.219,912.3
178.68,173.71,-99.638,-178.59,-180,-99.106,1253.4,-11.735,1026.2
178.67,177.19,-98.678,-179.37,-180,-98.149,1197.1,-4.9266,1096.9
178.66,179.12,-98.147,-179.8,-180,-97.619,1164.4,-1.189,1134.7
178.65,179.88,-97.937,-179.97,-180,-97.41,1151.2,0.28231,1149.3
178.65,180,-97.905,-180,-180,-97.378,1149.1,0.50547,1151.5
178.65,180,-97.905,-180,-180,-97.378,1149.1,0.50547,1151.5
178.56,179.98,-97.868,-179.89,-179.97,-97.375,1151.7,-2.716,1151.4
177.94,179.87,-97.625,-179.16,-179.74,-97.356,1168.3,-23.938,1150.7
176.38,179.59,-97.01,-177.3,-179.17,-97.308,1209.5,-77.703,1146.7
173.57,179.07,-95.901,-173.96,-178.14,-97.222,1279.9,-175.05,1132.5
169.28,178.29,-94.211,-168.87,-176.57,-97.09,1375.6,-323.22,1094.9
163.39,177.22,-91.891,-161.88,-174.42,-96.91,1479,-524.26,1017.7
155.85,175.85,-88.922,-152.93,-171.66,-96.679,1555.2,-772.24,890.16
146.7,174.19,-85.314,-142.06,-168.31,-96.398,1555.8,-1049.7,723.01
136,172.24,-81.101,-129.37,-164.4,-96.07,1436.1,-1324.9,562.74
123.92,170.04,-76.34,-115.02,-159.98,-95.699,1187.6,-1553.3,489.78
110.63,167.63,-71.105,-99.245,-155.12,-95.291,865.83,-1685.1,586.65
96.369,165.03,-65.487,-82.314,-149.91,-94.854,585.69,-1679.6,883.48
81.391,162.31,-59.586,-64.533,-144.43,-94.394,467.81,-1522.5,1318.8
65.974,159.5,-53.512,-46.23,-138.79,-93.921,564.89,-1237.2,1758.3
50.409,156.67,-47.38,-27.752,-133.1,-93.444,827.94,-882.64,2069
34.992,153.87,-41.306,-9.4495,-127.46,-92.971,1144.3,-534.93,2192.1
20.014,151.14,-35.405,8.3323,-121.98,-92.511,1412.5,-261.7,2155.5
5.7527,148.55,-29.787,25.263,-116.76,-92.074,1589.6,-100.77,2028.6
-7.5341,146.13,-24.552,41.036,-111.9,-91.666,1684.6,-53.716,1870.4
-19.619,143.93,-19.791,55.383,-107.48,-91.295,1725.2,-94.349,1710.2
-30.312,141.98,-15.578,68.078,-103.57,-90.967,1733.3,-184.93,1557.1
-39.471,140.32,-11.97,78.951,-100.22,-90.686,1721.2,-290.87,1415.1
-47.007,138.95,-9.0012,87.898,-97.468,-90.455,1696.4,-388.58,1289.5
-52.896,137.88,-6.6812,94.888,-95.314,-90.275,1665.9,-466.46,1185.9
-57.184,137.1,-4.9917,99.98,-93.746,-90.143,1636.7,-521.81,1108
-60,136.58,-3.8823,103.32,-92.716,-90.057,1614,-556.78,1055.9
-61.56,136.3,-3.2679,105.17,-92.146,-90.009,1600.2,-575.53,1026.8
-62.177,136.19,-3.0248,105.91,-91.92,-89.99,1594.5,-582.8,1015.3
-62.27,136.17,-2.9878,106.02,-91.886,-89.987,1593.6,-583.9,1013.5
